fold,state,target,n,MAE,RMSE,bias
2025/2026,Ondo,cases,52,7029.981326682439,18833.580832601085,-1291.507372357418
2025/2026,Ondo,hospitalizations,52,81.8006672082247,163.12127896902652,-3.1148705411421678
2025/2026,Ondo,deaths,52,10.518960083103618,21.670014025418748,4.975994041264476
2025/2026,Zamfara,cases,52,6885.603929497792,14185.625601672427,1552.695764388858
2025/2026,Zamfara,hospitalizations,52,75.13463823143223,167.88826114802538,-12.037183474002363
2025/2026,Zamfara,deaths,52,15.907980925498322,32.77288844368268,0.47363373185584073
2025/2026,Plateau,cases,52,6876.854737141217,14667.484194187777,-528.1874254599684
2025/2026,Plateau,hospitalizations,52,70.46451907710369,138.82390654647816,8.596863520264062
2025/2026,Plateau,deaths,52,10.495581327415822,22.297537671307847,1.8525056367836765
2025/2026,Enugu,cases,52,5976.314479664356,12120.720257682493,-437.03595914369663
2025/2026,Enugu,hospitalizations,52,94.37564803023163,201.73021681985298,-2.197963551910945
2025/2026,Enugu,deaths,52,9.050472338275709,26.285490975694582,-0.13914693274595655
2025/2026,Adamawa,cases,52,5274.055008726704,11603.13125216245,-1.3750132875827779
2025/2026,Adamawa,hospitalizations,52,63.92052243628356,151.9813639495952,1.013983865642842
2025/2026,Adamawa,deaths,52,11.886573988770472,29.141418190491642,0.883855865153001
2025/2026,Kogi,cases,52,3120.921950349501,6595.457479377662,1069.3613257687775
2025/2026,Kogi,hospitalizations,52,97.45425695330839,254.46226109493801,-16.214603830559366
2025/2026,Kogi,deaths,52,8.34857053310019,19.645540238623877,-2.328565063725914
2025/2026,Abia,cases,52,5699.689254616384,13739.042600055358,-631.9419854935536
2025/2026,Abia,hospitalizations,52,85.4674414900798,218.0129181349604,-4.641634650335004
2025/2026,Abia,deaths,52,9.066481783690785,23.950098023229348,-2.2165661904048046
2025/2026,FCT,cases,52,5640.570352524547,14591.0885384602,-16.56132793703754
2025/2026,FCT,hospitalizations,52,107.41904944822889,251.1249193429234,-35.90027980510045
2025/2026,FCT,deaths,52,5.968118776938512,12.827575133371031,2.2165725056217984
2025/2026,Gombe,cases,52,3475.8059979864524,8231.53594495345,1969.4440180663396
2025/2026,Gombe,hospitalizations,52,61.910660332392766,128.30711321214253,14.60746239906007
2025/2026,Gombe,deaths,52,10.727519960678542,22.380733012463093,0.1288837918200737
2025/2026,Yobe,cases,52,5950.4401652587985,12098.86106976132,719.6835074451988
2025/2026,Yobe,hospitalizations,52,63.88402908047219,122.94129874329883,19.965832858536967
2025/2026,Yobe,deaths,52,11.95221420475994,26.314363891357218,-0.004213462412534978
2025/2026,Taraba,cases,52,5816.503705949583,14387.602033757732,-1197.75499579506
2025/2026,Taraba,hospitalizations,52,58.15264059985978,137.65348537106675,4.620857054867592
2025/2026,Taraba,deaths,52,8.034070946779817,17.001251344422634,1.9093693403060885
2025/2026,Kwara,cases,52,4092.12474104832,9576.046607039407,-563.8055120544163
2025/2026,Kwara,hospitalizations,52,70.71804628550511,141.16196605391838,-1.3727084468172528
2025/2026,Kwara,deaths,52,6.876027890723521,16.40164003535921,0.7075948607206514
2025/2026,Osun,cases,52,3529.8417415147173,8030.708240436435,2528.995970823985
2025/2026,Osun,hospitalizations,52,115.79881771493692,269.0580143216382,-1.8161116396397026
2025/2026,Osun,deaths,52,8.34398300708905,18.219590903048854,-1.0653952045753612
2025/2026,Cross River,cases,52,3709.5080145565103,8020.50164487796,-148.80737092937247
2025/2026,Cross River,hospitalizations,52,84.80334888500673,187.6950743734768,-3.2925345305874396
2025/2026,Cross River,deaths,52,8.106370670336782,18.73867378235783,2.8559564263385218
2025/2026,Ebonyi,cases,52,5194.591780529754,11580.518317316486,-1072.8448968666942
2025/2026,Ebonyi,hospitalizations,52,52.840256547117846,108.07882568023899,15.30945724489025
2025/2026,Ebonyi,deaths,52,6.025194164007777,12.024064018850174,2.9120438137842797
2025/2026,Nasarawa,cases,52,4177.0269081989645,8771.6882280817,1235.1533749484993
2025/2026,Nasarawa,hospitalizations,52,69.50369839452225,158.39177631611872,-14.59155516909331
2025/2026,Nasarawa,deaths,52,5.75948802968039,12.579612078420451,3.919753593274191
2025/2026,Ekiti,cases,52,3934.2226262651757,8423.615234619729,-494.73211556811214
2025/2026,Ekiti,hospitalizations,52,59.12777836210978,121.88387202356743,12.371143592284414
2025/2026,Ekiti,deaths,52,5.024903067620443,10.582136633545575,2.460862492615092
2025/2026,Bayelsa,cases,52,2068.1404606950173,4322.54053912268,1270.1340890669364
2025/2026,Bayelsa,hospitalizations,52,49.23746761300686,126.37414083916399,12.217421538979531
2025/2026,Bayelsa,deaths,52,4.781447867671165,10.542907091344887,1.7080742171747174
